Region_Code,Region_Name,Sub_Region_Code,Sub_Region_Name,Intermediate_Region_Code,Intermediate_Region_Name,Country_or_Area,M49_Code,ISO_Alpha3_Code,Is_Least_Developed_Countries_LDC,Is_Land_Locked_Developing_Countries_LLDC,Is_Small_Island_Developing_States_SIDS,Developed_Or_Developing_Countries
002,Africa,015,Northern Africa,,,Algeria,12,DZA,False,False,False,Developing
002,Africa,015,Northern Africa,,,Egypt,818,EGY,False,False,False,Developing
002,Africa,015,Northern Africa,,,Libya,434,LBY,False,False,False,Developing
002,Africa,015,Northern Africa,,,Morocco,504,MAR,False,False,False,Developing
002,Africa,015,Northern Africa,,,Sudan,729,SDN,True,False,False,Developing
002,Africa,015,Northern Africa,,,Tunisia,788,TUN,False,False,False,Developing
002,Africa,015,Northern Africa,,,Western Sahara,788,ESH,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,British Indian Ocean Territory,788,IOT,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Burundi,788,BDI,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Comoros,788,COM,True,False,True,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Djibouti,788,DJI,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Eritrea,788,ERI,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Ethiopia,788,ETH,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,French Southern Territories,788,ATF,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Kenya,788,KEN,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Madagascar,788,MDG,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Malawi,788,MWI,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Mauritius,788,MUS,False,False,True,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Mayotte,788,MYT,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Mozambique,788,MOZ,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Réunion,788,REU,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Rwanda,788,RWA,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Seychelles,788,SYC,False,False,True,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Somalia,788,SOM,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,South Sudan,788,SSD,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Uganda,788,UGA,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,United Republic of Tanzania,788,TZA,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Zambia,788,ZMB,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,014,Eastern Africa,Zimbabwe,788,ZWE,False,True,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Angola,788,AGO,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Cameroon,788,CMR,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Central African Republic,788,CAF,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Chad,788,TCD,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Congo,788,COG,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Democratic Republic of the Congo,788,COD,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Equatorial Guinea,788,GNQ,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Gabon,788,GAB,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,017,Middle Africa,Sao Tome and Principe,788,STP,True,False,True,Developing
002,Africa,202,Sub-Saharan Africa,018,Southern Africa,Botswana,788,BWA,False,True,False,Developing
002,Africa,202,Sub-Saharan Africa,018,Southern Africa,Lesotho,788,LSO,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,018,Southern Africa,Namibia,788,NAM,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,018,Southern Africa,South Africa,788,ZAF,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,018,Southern Africa,Swaziland,788,SWZ,False,True,False,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Benin,788,BEN,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Burkina Faso,788,BFA,True,True,False,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Cabo Verde,788,CPV,False,False,True,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Côte d'Ivoire,788,CIV,False,False,False,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Gambia,788,GMB,True,False,False,Developing
002,Africa,202,Sub-Saharan Africa,011,Western Africa,Ghana,788,GHA,False,False,False,Developing
